SCAN_NO_TECH	{未安装扫描技术<IMG>SLASH<>}
我跌倒在地上，但那昆虫大军并没有爬到我身上。幻象消失了，风中传来一阵嘲笑声。}
WAR_MON_DESC_7	{石碑上开启一道传送门，巨大的有翼动物的尸体倒在我的脚下。它似乎是某种仪式的祭品，喉咙被割开，翅膀上还纹着远古战士部落的脸。但它的眼睛......特别奇怪。

它原本的眼睛已被挖去，现在眼眶里的是闪亮的红色球体。我盯着看越久，红色球体的光就越强。其中显然藏有对我旅途有帮助的先进技术。我下得了手亵渎这个祭品吗？}
DNT_WAR_MON_LANG_7	{Respect the Vy'keen Ancients sacrifice. The beast has holy sight. Respect holy sacrifice.}
WAR_MON_OPT_A_7	{取走眼睛}
WAR_MON_OPT_B_7	{鞠躬}
WAR_MON_RES_A_7	{我从鸟的眼眶中取出晶体。它们发出可怕的深红色，然后裂开，溢出了纳米。
石碑对我的僭越行为发起了愤怒的吼叫。幻象消失了。}
WAR_MON_RES_B_7	{居住在此处的远古灵魂对我的尊敬之举表示欣慰。尸体得到了治愈，随后逃之夭夭。它靠近了地平线，湮没在深红火光之中。
幻象结束时，我发现自己得到了祝福，收到了大量的纳米星团。}
WAR_MON_DESC_8	{石碑中突然出现了远古猎犬的血盆大口。它张开大嘴，恶臭的唾沫溅到了我的面甲上。但我看到了它巨大舌头上放着的宝贵货物，恶心感稍稍舒缓。}
DNT_WAR_MON_LANG_8	{Feed the beast. Honour the ancients. Companion beast of legend is very good beast. Feed it!}
WAR_MON_DESC_8A	{猎犬突然把货物移到了嘴的一边，它的唾沫淋湿了我的双臂。它舌头上还能放货物。我是不是要放弃一点自己的货物呢......}
WAR_MON_OPT_A_8	{把货物放在舌头上}
WAR_MON_OPT_B_8	{拿走舌头上的货物}
WAR_MON_RES_A_8	{猎犬吞下了我放上去的货物，并热情地舔了舔我。幻象消失了，我发现自己得到了远古力量的祝福。}
WAR_MON_RES_B_8	{我取回货物，但巨兽猛地合上嘴，一颗黄色的犬齿刺穿了我的手臂。幻象消失了，但疼痛还在。}
WAR_MON_DESC_9	{石碑底部慢慢出现了一名远古战士的腿和脚，接着它的躯干也被不体面地推上了裸岩。它已身首异处。
血液在我脚下滴落。我头顶上有一颗被斩下的头颅盯着我惊愕的表情哈哈大笑。它向我喊出刺耳的催促命令。}
DNT_WAR_MON_LANG_9	{Brave interloper! Resist fear! Do not be a coward!}
WAR_MON_DESC_9A	{我听到身后有远古利刃出鞘的声音，有人正向我冲过来......}
WAR_MON_OPT_A_9	{站立}
WAR_MON_OPT_B_9	{闪避}
WAR_MON_RES_A_9	{我沉着镇定地站着不动。无形的利刃穿过了我的脖子，我通过了考验。
幻象消失了。从战士脖子上滴下的血液化为了一大堆纳米。}
WAR_MON_RES_B_9	{无形的利刃在我的头顶掠过。头颅看起来很失望。幻象消失了。
我大概是没有通过某种考验。}
WAR_MON_DESC_10	{石碑在我面前粉碎。它一次又一次地自我坍缩，直到变成一个小红球，周围环绕着舞动的光芒。
我感觉有个十分古老甚至是神圣的存在正在向我展示这些奇特建筑的起源。}
DNT_WAR_MON_LANG_10	{The Vy'keen feed the Atlas stone rare metal. It builds. It towers.}
WAR_MON_DESC_10A	{我能切实感觉到我身上携带的金属正把我拽向它，不顾一切地要帮助它重建。我携带的这些元素迫不及待地想把自己献上......}
WAR_MON_OPT_A_10	{交出金属粉尘}
WAR_MON_OPT_B_10	{交出纯铁氧体}
WAR_MON_OPT_C_10	{交出有色金属}
WAR_MON_RES_A_10	{我感到一阵热血沸腾，头晕目眩。我进入了无我之境，在无垠宇宙之中，我意识到了自己的渺小。

石碑慢慢一点一点重建。我得到了怜悯。幻象结束了。}
WAR_MON_RES_B_10	{我感觉到自己在无垠时空中身处的真正地位。

石碑慢慢的重建。它对我表示怜悯。}
WAR_MON_RES_C_10	{我感到一阵热血沸腾，头晕目眩。我进入了无我之境，意识到了自己在无垠宇宙中的真正地位。

石碑开始重建，并安抚地给予我奖励。幻象结束了。}
WAR_MON_DESC_11	{我把手掌放在石碑上。作为回应，石碑开始熔化，我后退几步。熔岩从石头上滴下，暴露出空荡的内部。
我看到里面放着远古技术和货物，这些难以置信的财宝能让我的旅途事半功倍。突然远古部族的话音响起，我脚下的地面都随之震颤......}
DNT_WAR_MON_LANG_11	{The Vy'keen Ancients burn thieves and pirates.}
WAR_MON_DESC_11A	{熔岩仍在滴落，石碑似乎很不稳定，但可派上用场的装备就近在咫尺......}
WAR_MON_OPT_A_11	{伸手拿取装备}
WAR_MON_OPT_B_11	{退后}
WAR_MON_RES_A_11	{岩浆涌动，熔化的岩石升至我套装的位置。时间变慢了。我感觉自己在燃烧。没有出口，我完了。
我闭上眼睛。当我睁眼时，石碑已经重建好了，熔化的岩石再次凝固了。我感觉到一股火热而愤怒的风。}
WAR_MON_RES_B_11	{由于我表现出了敬畏心，曾在这里朝拜的远古战士祝福了我。熔岩自行变形，冷却后在我面前形成一个复杂的基座。基座上堆满了礼物。
幻象消失了，但礼物还在。}
WAR_MON_DESC_12	{远古建筑上有三大列用不同语言写成的文字。
第一列文字看起来像是写在沙地上的蛮族符文。第二列由一连串有规律的小点构成。最后一列的字母很宽很友好，似乎是谁用坚硬的石块刻上去的。}
DNT_WAR_MON_LANG_12	{Grah! Learn language of the conquerors! Learn language of the conquered!}
WAR_MON_DESC_12A	{每一列上都覆盖着古老手印的污垢和血迹。}
WAR_MON_OPT_A_12	{在符文上按手印}
WAR_MON_OPT_B_12	{在点阵上按手印}
WAR_MON_OPT_C_12	{在字母上按手印}
WAR_MON_RES_A_12	{住在此地的远古灵魂将它们战士后代的语言注入我思维中。}
WAR_MON_RES_B_12	{住在此地的远古灵魂将遥远的电子生命体种族的语言注入我思维中。}
WAR_MON_RES_C_12	{住在此地的远古灵魂将遥远的有喙商人种族的语言注入我思维中。}
WAR_MON_DESC_13	{我成为了陌生新现实的一部分。古老的岩石敞开了。一颗远古战士的干枯心脏悬挂在里面的木柱之间，缓慢地跳动着。

它下方布满灰尘的地板上是一副皱巴巴的肺，似乎永远都无法摆脱在污浊空气中喘息的厄运。一个脱水的眼球直直地盯着我，一眨不眨。}
DNT_WAR_MON_LANG_13	{Rebuild the ancient warrior body. Restore monolith power. Make body whole again.}
WAR_MON_OPT_A_13	{朝心脏射击}
WAR_MON_OPT_B_13	{把肺连起来}
WAR_MON_OPT_C_13	{恭敬地离开}
WAR_MON_RES_A_13	{我举起了多用途工具，进行了发射。它从心脏吸取了一种物质，就好像它是一棵普通的树或石头。我的耳朵里充斥着刺耳的尖叫。
石碑的力量褪去，幻象也结束了。}
WAR_MON_RES_B_13	{我把肺部放在远古心脏的旁边，它们开始以和谐的节奏脉动着。空气变得清新，灰尘也被吹走了。石碑的力量恢复了。
当幻象消失后，石碑便赐予我礼物。}
WAR_MON_RES_C_13	{我背过身去，石碑关闭了。随着幻象的消失，我听到里面传来心碎的哀号和失望的尖叫。}
WAR_MON_DESC_14	{我身处一座巨大的竞技场内，头顶上是血色天空。这里吵得令我难以忍受。战士因为即将开始的战斗而放声呐喊。}
DNT_WAR_MON_LANG_14	{Choose your warrior! Vy'keen ancients reward interloper howl!}
WAR_MON_DESC_14A	{两名参战者在深红色的沙地上摆好架势。其中一名弄丢了利刃，躲在盾牌后面。另一名向它走去，举起手中长矛。我不由自主地想随着人群一起呐喊助威。}
WAR_MON_OPT_A_14	{声援有危险的角斗士}
WAR_MON_OPT_B_14	{声援手持长矛的角斗士}
WAR_MON_RES_A_14	{角斗士用锋利的盾牌处决了对手。它向我鞠躬。
当幻象消失时，它给了我可用来保护自己的东西作为谢礼。}
WAR_MON_RES_B_14	{角斗士用长矛刺穿了对手的头颅。它向我鞠躬。
当幻象消失时，它给了我可用来消灭敌人的东西作为谢礼。}
WAR_MON_DESC_15	{我感觉到岩石内滚烫的热度。突然，液态金属从石头上的小孔中渗出，仿佛是受到我套装的吸引一样。我听到了尖叫声。}
DNT_WAR_MON_LANG_15	{Seal gap! Protect Monolith! Precious valuable material lost! Use metal!}
WAR_MON_DESC_15A	{刚开始只是滴落，后来变成了喷涌。石碑里面原有的东西正在不断流失，光芒也在不断变暗。}
WAR_MON_OPT_A_15	{用金属堵住小孔}
WAR_MON_OPT_B_15	{用催化剂堵住小孔}
WAR_MON_OPT_C_15	{拿走熔融的物质}
WAR_MON_RES_A_15	{我封住了洞。如同突然开始一样，幻象猛地戛然而止。石碑里的灵魂感激地给了我一份谢礼。}
WAR_MON_RES_B_15	{催化剂和熔融物质发生反应。它蒸发了，整个石碑就在我眼前融化了。当液态金属波朝我汹涌而来时，我却被冻结在原地......
幻象突然结束。石碑的力量消失了。}
WAR_MON_RES_C_15	{我把手伸进了熔融的金属中，疼痛感剧烈之极。我闭上了眼睛......
幻象突然结束了，石碑的力量消失了。在我拿着液态金属的地方，我发现了一种奇怪的新物质......}
WAR_MON_DESC_16	{岩石表面出现了一只有鳃小生物的尸体。它是远古的祭品，圆睁的眼睛被金属矛刺穿。

液体从尸体上滴落到远古人在石碑上凿出的渠中。渠连通着两幅雕刻图案：太阳和月亮。液体可以导向到其中一幅。}
DNT_WAR_MON_LANG_16	{Light brings power. Darkness brings resilience. Light brings power. Darkness brings resilience.}
WAR_MON_OPT_A_16	{将体液导向太阳}
WAR_MON_OPT_B_16	{将体液导向月亮}
WAR_MON_OPT_C_16	{拿走金属矛}
WAR_MON_RES_A_16	{献祭的液体倒入太阳中时，它便膨胀了起来。它越来越亮，直到我的幻象里除了它明亮的白光外，一无所见。
我眨了眨眼，幻象消失了。一个技术模块躺在太阳曾经发光发亮的地方。}
WAR_MON_RES_B_16	{献祭的液体倒入月亮中时，它便膨胀了起来。它越来越亮，直到我的幻象里除了它皎洁的银光外，一无所见。
我眨了眨眼，幻象消失了。一个技术模块躺在月亮曾经发光发亮的地方。}
WAR_MON_RES_C_16	{我拿起了金属矛。当我握着它们时，它们变成了天际之球并开始变大。我无法放手。它们开始旋转，进行快速的轨道运行。我的胳膊被拉断了。我......
幻象结束了。我又完整了。我听到风中传来愤怒的哭声。}
WAR_MON_DESC_17	{我感到浑身无力。我多用途工具和套装上的度数开始逐渐下滑，一阵压倒性的困乏感袭来。尽管我呼吸很正常，但我的身体渴求氧气。

一股外来的思维在我的意识中回荡。}
DNT_WAR_MON_LANG_17	{Ancients consume interloper life force! Ancients reward interloper for rebirth! Closer! Faster! Closer! Faster!}
WAR_MON_DESC_17A	{静默不动的石碑耸立在我上方。}
WAR_MON_OPT_A_17	{触碰石碑}
WAR_MON_OPT_B_17	{站定不动}
WAR_MON_OPT_C_17	{离开}
WAR_MON_RES_A_17	{石碑迅速通过我伸出的手臂吸走了我的生命力。一束越来越亮的光亮从我触摸它的地方散发出来。我感到累极了。幻象开始消失......
我醒来时，感觉仿佛刚从最完美的睡眠中醒来。我躺在一个浅浅的纳米池里，但我感觉好极了。一下子精神百倍了起来。}
WAR_MON_RES_B_17	{我一动不动地站在石碑前，看着它慢慢吸走我的生命力。我努力坚持着，但这已经超出我能承受的限度了。<DELAY>0.4<>我感到累极了。幻象开始消失......
我醒来时，感觉仿佛刚从最完美的睡眠中醒来。我躺在一个浅浅的纳米池里，但我感觉好极了。一下子精神百倍了起来。}
WAR_MON_RES_C_17	{我离开了石碑吸取生命力的范围。高耸的石碑似乎难以接受也很不满意。}
WAR_MON_DESC_18	{天上射下一束光，透过远古符文，将其聚焦在了雕刻着远古图案的石头表面。

光束慢慢的沿着石头上雕刻的图案移动。图案上刻的是战士的大战、外星人的城市还有看似是被盗的财宝。朝圣者的手印将各自覆盖......}
DNT_WAR_MON_LANG_18	{Hirk took the treasure of Nal after battle. Treasure now hides in the city of Hirk.}
WAR_MON_OPT_A_18	{触碰战斗的图案}
WAR_MON_OPT_B_18	{触碰城市的图案}
WAR_MON_OPT_C_18	{触碰财宝的图案}
WAR_MON_RES_A_18	{光束消失。

这个荒凉的地方只剩下我孤身一人。}
WAR_MON_RES_B_18	{城市的图案开始发光。我听到了喧嚣声，街上人们的喋喋不休和高声喊叫，以及那些谈论日常事务的生物拍打触手和下巴嘎吱作响应的声音。
接着便一片沉寂。他们走了。没有迹象表明发生了什么。我发现脚边有一个银色的小箱子，里面装满了纳米。}
WAR_MON_DESC_19	{突然，一股破坏性的能量在我的套装中流淌。我的多用途工具侦测到石碑内部还有一股能量正在积聚，很快就要朝我以及这处古迹周围的区域释放。

我可以用套装的防护缓冲即将到来的能量波，但套装系统承载过大，以至于它无法识别危险......}
DNT_WAR_MON_LANG_19	{Warning! Keep clear! Ancient radiation pulse site!}
WAR_MON_OPT_A_19	{准备好吸收辐射}
WAR_MON_OPT_B_19	{准备好吸收毒素}
WAR_MON_RES_A_19	{辐射波被吸收殆尽，这里又安全了。

远古灵魂表达了感激之情。}
WAR_MON_RES_B_19	{我的套装毫无准备，我被辐射波淹没了。

疼痛从我身上袭来，神圣之所遭到破坏。}
WAR_MON_DESC_20	{我突然出现在水中，就快要溺亡了。水堵塞了我的肺，我胸口像烧起来一样。我拼命呼吸，但没有空气，只感觉到温热的液体灌满我的全身。我的视野变得模糊，我知道自己将命丧于此。原来失去生命就是这种感觉。

突然，一只绿色的手伸入水面。光芒正在变暗。}
DNT_WAR_MON_LANG_20	{Warrior accepts journey's end. Embrace death.}
WAR_MON_OPT_A_20	{抓住那只手}
WAR_MON_OPT_B_20	{不再挣扎}
WAR_MON_RES_A_20	{我伸手去握那只手，但它把我推了回去。
我回到了现实。
我活了下来，但我不知为什么感到一阵空虚和枯燥。我呼吸的空气中，弥漫着一股失望的味道。}
WAR_MON_RES_B_20	{光消失了。现实逆转。

在了解死亡的感觉之后，我变得更加强大了。先人祝福了我。}
ALL_MONOLITH_REWARD_1	{栖息在此的远古灵魂奖励了我。}
ALL_MONOLITH_REWARD_2	{我的旅行受到了一股远古力量的祝福。}
ALL_1_PORT_RIGHT_1	{传送门开启......}
ALL_1_PORT_WRONG_1	{传送门仍旧关闭}
EXP_1_PORT_DESC_1	{科尔瓦克斯灵魂回响的古老力量显现在你面前的传送门上。你听见它们在呼唤着你。它们说着听起来十分熟悉的语言。}
EXP_1_PORT_LANG_1	{旅行者来了吗？它们在这儿吗？}
EXP_1_PORT_LANG_2	{告诉我们。告诉我们迷人的护卫拿着什么。}
EXP_1_PORT_OPT_1	{很有可能}
EXP_1_PORT_OPT_2	{是的}
EXP_1_PORT_OPT_3	{不}
EXP_1_PORT_OPT_4	{一种未知的力量}
EXP_1_PORT_OPT_5	{激光}
EXP_1_PORT_OPT_6	{态度不好}
TRA_1_PORT_DESC_1	{你的面前有一扇传送门。你听到了吉克初代微弱而又绝望的声音。它们说着你的语言。}
TRA_1_PORT_LANG_1	{吉克发生了什么？它们仍旧崇拜初代吗？}
TRA_1_PORT_LANG_2	{初代力量强大！初代的领土变得有多大？}
TRA_1_PORT_OPT_1	{吉克尊敬它们强大的祖先。它们经常说到你}
TRA_1_PORT_OPT_2	{吉克是忙碌的生物。很难讲}
TRA_1_PORT_OPT_3	{它们忙于交易，忽略了你}
TRA_1_PORT_OPT_4	{你的王朝浩瀚广阔，横跨整个星系。}
TRA_1_PORT_OPT_5	{我不知道，不能告诉你。}
TRA_1_PORT_OPT_6	{你这一代现在是商人了。它们排斥你}
WAR_1_PORT_DESC_1	{你听到来自遥远世界的喧闹声。突然，维吉恩先人的喊叫声用力撕扯你的思绪。它们用一种你能多少理解一点的语言吼叫着。}
WAR_1_PORT_LANG_1	{阿特拉斯界面！它跟我们提过你！告诉我们......它的讯息是什么？}
WAR_1_PORT_LANG_2	{格拉！你与护卫进行战斗了吗？战争永不停歇！}
WAR_1_PORT_OPT_1	{旅行者将会被赦免}
WAR_1_PORT_OPT_2	{旅行者将会被根除}
WAR_1_PORT_OPT_3	{旅行者将可以进入它们碰巧找到的任意传送门}
WAR_1_PORT_OPT_4	{我与护卫战斗。它们冷血无情，但我决不退缩}
WAR_1_PORT_OPT_5	{在必要的时候我会战斗。我并不惧怕它们}
WAR_1_PORT_OPT_6	{我要向护卫学习。它们保守秘密}
ALL_PORTAL_DESC_1	{大门另一端的遥远世界传来了回声。

彼方是新天地。}
ALL_PORTAL_DESC_2	{传送门高悬在我头顶，静静地看守着这颗行星。

很少有人能够看到它守护的世界。}
ALL_PORTAL_DESC_3	{传送门彼方的世界渗入我的思维。

它呼唤着我。通往未知世界的道路渴望被开启。}
ALL_PORTAL_DESC_4	{高耸的建筑是一道传送门，通往太空中的某个星球。

我听到了未知世界的低语。}
ALL_PORTAL_DESC_5	{远古石质建筑里传来遥远星球的回声。

神秘的未知世界就在其中。}
ALL_PORTAL_DESC_6	{巨大的传送门呼唤着我，在我的脑海中低语着远方世界的秘密。}
ALL_PORTAL_DESC_7	{另一个星球的生命力从传送门中传来。虽然看不到，但能感觉到。我听到了它的呼唤。

只需几步我也许就能走到原本要花几辈子才能到达的旅途终点。}
ALL_PORTAL_DESC_8	{在传送门另一面那遥远的未知世界里，动植物和所见所闻对我来说都是陌生的。

我可以在脑海中听到传送门不停地呼唤我。}
ALL_PORTAL_DESC_9	{这座奇特的建筑是通往另一颗星球的传送门。走进去就能穿越星际到达外星异世界。

我感觉传送门以及彼方的世界在吸引着我。}
ALL_PORTAL_DESC_10	{传送门中传来远方世界震动。

它的呼唤令我迷醉。传送门乞求着我将它开启。}
ALL_PORTAL_RES_A_1	{巨大的建筑苏醒了。

它展现出通往远方星球的通道。}
ALL_PORTAL_RES_A_2	{传送门开启了。

远方的新天地等待着......}
ALL_PORTAL_RES_A_3	{传送门开启了。

我即将踏上新的旅途。}
ALL_PORTAL_RES_A_4	{传送门开启了。

是时候进去一探究竟了。}
ALL_PORTAL_RES_A_5	{传送门开启了，从中可以听到远方星球的声响。

新世界等待着。}
ALL_PORTAL_RES_A_6	{传送门开启了。

通往另一颗行星的道路已经就绪。}
ALL_PORTAL_RES_A_7	{我感觉到即将面对广阔的新天地。

传送门开启了。}
ALL_PORTAL_RES_A_8	{远方世界的气息扑面而来。

传送门等待着。}
ALL_PORTAL_RES_A_9	{巨大的传送门开启了。

远方的星球等待着我的到来......}
ALL_PORTAL_RES_A_10	{远方恒星的光芒从传送门中洒出。

传送门开启了。}
ALL_PORTAL_RES_B_1	{传送门仍在休眠。

这股沉寂仿佛连空气都能凝固。}
ALL_PORTAL_RES_B_2	{高耸的传送门依然关闭。

其中的秘密不得而知。}
ALL_PORTAL_RES_B_3	{没有出现通道。

只剩下我一人站在这沉寂的外星世界中。}
ALL_PORTAL_RES_B_4	{传送门依然沉默。

在这外星世界萧瑟的风中只剩下我孤身一人。}
ALL_PORTAL_RES_B_5	{我未能前往新星球。

传送门仍在休眠。}
ALL_PORTAL_RES_B_6	{巨大的传送门继续无声地守望。

另一头是什么依然是个谜。}
ALL_PORTAL_RES_B_7	{传送门依然紧闭。

它继续着自己无言的守望。}
ALL_PORTAL_RES_B_8	{传送门仍然关闭。

只剩下沉寂。}
ALL_PORTAL_RES_B_9	{传送门不愿让我通过。

通道依然紧闭。}
ALL_PORTAL_RES_B_10	{传送门继续着自己无言的守望。

彼方的星球依然是个谜。}
ALL_PORTAL_OPT_A	{开启传送门}
EXP_NPC_ANOMALY_NAME	{神父实体纳达}
EXP_NPC_ANOMALY_DESC_1	{我靠近电子生命体时，它突然动了起来。扫描光线从它暗色面甲中射出并将我笼罩。我听到一阵令人不安的嘁喳声，之后它居然用我的语言开口说话了。

它要我选择。它可以教我如何控制黑洞，这样我就能踏上前往星系中心的旅途。或是为我指明前往阿特拉斯界面的方向。如果我决定自己探索，它也能向我提供协助。}
EXP_NPC_ANOMALY_DESC_2	{它们表示纳达是个科尔瓦克斯神父，不知用什么方式脱离了思维共同体。现在此人正在研究星系的起源，并提出了一种大胆的假设，即我们的整个现实只不过是某个存在进行的一场模拟实验。我本想笑，但突然想起了阿特拉斯。

纳达又给了我一个选择，还是说这是对我的考验？

返回通往阿特拉斯的既定之路。找到黑洞，带我前往星系中心。或是接受一份对我自己旅途有帮助的礼物。}
EXP_NPC_ANOMALY_DESC_3	{一向拘谨的纳达开始抽搐舞动，说明它正在和某种内部的敌人抗争。它们面甲上闪动的灯光色彩斑斓，有时候似乎它们被另外一个实体占据。我紧紧抓住它们的手臂，不久后它的灯光图案变回了我熟悉的样子。

科尔瓦克斯从未停止夺回这副躯体并抹除纳达的企图。但这位神父实体在解开现实之谜之前绝不会屈服。}
EXP_NPC_ANOMALY_DESC_4	{我靠近纳达时发现它正连接着一系列仪器。面板上闪过太阳的反光，立体像素分子结对进出着。我看到显示装置上滚动着出错的信息，不知该怎么办。

纳达看到了我并向我解释。星系各处都在重复这种模式，本该是千差万别的元素却完全相同。这绝不是巧合。这是阿特拉斯造成的吗？房间另一头的保罗笑了起来。}
EXP_NPC_ANOMALY_DESC_5	{这次纳达没有靠近我。它面甲上闪动着警示的灯光。我们之间的关系发生了变化。

纳达解释道它的理论机能进化了。它发现银河中除了残酷的因果关系外其他什么都没有，更别说什么自由意志了。它担忧我们只不过是更高等存在创造出来的棋子，也就是任他们摆布的傀儡而已。纳达感觉我可能是个例外。难道我也是傀儡的操控者吗？}
EXP_NPC_ANOMALY_DESC_6	{纳达多疑的性格感染了我。我进入房间之前先探查了里面的情况。吉克和保罗似乎正不亦乐乎地干着杂活。而纳达的躯体静止不动，只有灯光仍在闪动。它面甲上......刚刚似乎闪过了一点红光？如果是，那红光并没有再次出现。

我等了一阵后，大摇大摆地进了房间。保罗热情无比地向我打招呼，而纳达跟我保持着距离，他们之间的信任越来越脆弱。}
EXP_NPC_ANOMALY_DESC_7	{纳达和保罗一反常态的寡言。保罗正在机械堆里忙忙碌碌，纳达在做模拟实验，房间里气氛很紧张。显然他们刚刚发生过争执。

纳达叫我过去。它表示被束缚在机械身躯里令它十分沮丧。而我不同，我可以有无数种生活方式，可以去很多很多地方。不管我想在星系中寻求真相还是想按照自己的意愿生活都没问题，我想去哪儿就能去哪儿。纳达承认它嫉妒我。}
EXP_NPC_ANOMALY_DESC_8	{纳达这次站得靠我很近。要是它们有情感的话，现在一定心乱如麻吧。它们犹豫地将一只手搭在我的肩膀上，将面甲凑上前来。我看不到纳达面甲后面是什么，但我感觉它们正在直视我的双眼。

如果继续前往中心，我们说不定要永别了。我不知道到时能否保住性命，不知道那里到底有没有活物，也不知道等待着我们的是自由还是灭亡。纳达恐惧而悲伤地向我道别。}
EXP_NPC_ANOMALY_DESC_9	{面板和系统现在处于闲置状态。似乎纳达已经从中了解到了一切能了解的信息。我向它们汇报旅行和发现，它们的面甲亮了起来。

纳达说一切都解释得通了。它们看着之前凝视的星图，发现了一行行代码。到处都有联系和特定的模式。星系就是一张蜘蛛网，但蜘蛛是何方神圣呢？中心就在不远处。我们也许很快就能得到答案。我不禁打了个寒颤。}
EXP_NPC_ANOMALY_LANG_1	{罕见的语言形式。幸会！我叫纳达，是个与众不同的科尔瓦克斯。在此向你提供协助。是否前往星系核心？是否与阿特拉斯重新取得联系并寻求指引？是否需要旅途中用的资源？是/否？}
EXP_NPC_ANOMALY_LANG_2	{又见面了！欢迎。还想得到协助吗？是否回归阿特拉斯的控制？是否想寻找星系核心？旅途中是否需要帮助？请决定。}
EXP_NPC_ANOMALY_LANG_3	{科尔瓦克斯集会想要‘违抗命令’的纳达的躯壳。集会不合逻辑。

旅行者数据和结论让我无法抗拒。星系的形状、大小、分配有错误。继续探索！}
EXP_NPC_ANOMALY_LANG_4	{物理学过分简单化。化学过于随性。我提出的假设是，一切只是一场模拟。星系并不是最底层的存在。继续探索，但要当心红色球体。在模型上找到瑕疵，查明真相。是/否？}
EXP_NPC_ANOMALY_LANG_5	{模拟的创造者是敌是友？持怀疑态度至关重要。星系只是纯粹的个体统计性异常。纳达是个错误。能信任纳达吗？能信任你吗？}
EXP_NPC_ANOMALY_LANG_6	{红色球体是敌对的支配者。是创造者还是他们的遗物呢？

奇点是关键，是通往星系核心的道路。是创造者发来的路径消息还是创造时粗心留下的？}
EXP_NPC_ANOMALY_LANG_7	{保罗乐于体验。只体验珍贵有趣的数据。

纳达被困在这个星系里的这副躯壳中，十分悲伤沮丧。你不受束缚。探索、逃离并回来报告是关键。}
EXP_NPC_ANOMALY_LANG_8	{纳达珍视进步。最终目的是帮助你逃离。

汇总发现。星系的起因。通往核心的道路。红色球体。过于简化的物理学。或者无视这一切，自由探索。}
EXP_NPC_ANOMALY_LANG_9	{一切终有尽头。时间也会终结。数据必须留存。在开始的地方：星系中心，那里是平静的风暴之心。

你的旅行至关重要。向终点进发吧。我的工作已完成。我要回集会去了。}
EXP_NPC_ANOMALY_OPT_A_1	{继续在通往阿特拉斯之路上前进}
EXP_NPC_ANOMALY_OPT_B_1	{找到通往中心的捷径}
EXP_NPC_ANOMALY_OPT_C_1	{对探索有帮助的资源}
EXP_NPC_ANOMALY_OPT_A_9	{不接受纳达的协助}
EXP_NPC_ANOMALY_RES_A_1	{科尔瓦克斯标记出了一处阿特拉斯界面的位置。}
EXP_NPC_ANOMALY_RES_B_1	{这个外星人标出了一个黑洞的位置。}
EXP_NPC_ANOMALY_RES_C_1	{纳达给了你一份有助于星系探索的礼物。}
EXP_NPC_ANOMALY_RES_A_9	{面甲上的灯光狂乱地闪动着。}
TRA_NPC_ANOMALY_NAME	{保罗专家}
TRA_NPC_ANOMALY_DESC_1	{较矮小的实体是个有幽默感的吉克。它把沾满油污的双手在衣服上随意地擦了擦并向我打招呼。看样子它应该是个工程师了。

让我吃惊的是，它居然会说我的语言。其他生命体对我的态度看似感兴趣实则冷漠，但保罗对我平等相待。

它对我的旅程以及我见过哪些智慧生物十分好奇，它想知道我是否见过它没见过的生命体。它希望我与它分享旅途中的见闻。}
TRA_NPC_ANOMALY_DESC_2	{保罗见我走来，高兴地手舞足蹈，显然认定我和它志同道合，刚刚从探索发明之旅中归来。而我尚未决定是否真与它志同道合。

保罗对我与外星语言和文化互动时大脑受到的影响特别感兴趣。我真能理解如此陌生而深奥的概念吗？我学习的能力有极限吗？我自己也想知道。}
TRA_NPC_ANOMALY_DESC_3	{保罗一看到我就露出了热情洋溢的笑脸。也许有点热情过头了，毕竟我们才见过两次面。也许这个快乐的吉克在这里很寂寞，因为它只有一个紧张不安的科尔瓦克斯神父为伴。

这次，它跟我谈了财富的话题。一个覆盖整个星系的经济体系是如何运作的？那些交易终端究竟能吐出多少钱？保罗要我畅所欲言。}
TRA_NPC_ANOMALY_DESC_4	{我进门时保罗走过来拥抱我，但我下意识地退后，因为已经有太多脾气暴躁的野生生物对我发动过突然袭击，我已经练成了自我保护的本能。

吉克圆睁的眼睛里闪过了失望的神色。我想向他道歉，但它抢过话头，表示也许我跟海盗在一起能更自在一些。

海盗看到我肯定二话不说就发动攻击，但如果我能活下来，我们也许能深入了解他们的技术。}
TRA_NPC_ANOMALY_DESC_5	{我依然为上次的不当举动而过意不去。这次我打算在和保罗打招呼时主动给它一个拥抱，结果它满脸惊恐地缩到角落里去了。

一阵尴尬地沉默后，保罗转移了话题。它说护卫威胁着我们大家的生命。我在旅途中可以有意消灭一切我遇到的哨兵。我们也许能对这种烦人的机械的弱点有更深入的了解。

也许那时我们能重归于好。}
TRA_NPC_ANOMALY_DESC_6	{保罗终于变回以前和蔼可亲的样子了。它时而点头，时而微笑，偶尔还会友好地轻拍我的手臂。我们又是朋友了。

吉克说它们希望我健康长寿时，我十分感动，但得知它真正目的是想研究我的套装长期暴露在极端气候中会有何反应后，我又感到很沮丧。}
TRA_NPC_ANOMALY_DESC_7	{我们之前的不愉快早已被抛到九霄云外，保罗见到我时亲切的挥手致意，并叫我过去。它们似乎比以往更兴奋，后来才知道这是因为它们想要我投身于它们最热衷的爱好：自由地探索群星。

